icd_code,icd_title
4589,HYPOTENSION NOS
07070,UNSPECIFIED VIRAL HEPATITIS C WITHOUT HEPATIC COMA
V08,ASYMPTOMATIC HIV INFECTION
5728,"OTH SEQUELA, CHR LIV DIS"
78959,OTHER ASCITES
5715,CIRRHOSIS OF LIVER NOS
78900,ABDOMINAL PAIN UNSPEC SITE
78097,ALTERED MENTAL STATUS 
34830,"ENCEPHALOPATHY, UNSPECIFIED"
7822,LOCAL SUPRFICIAL SWELLNG
5283,CELLULITIS/ABSCESS MOUTH
2860,CONG FACTOR VIII DIORD
9222,CONTUSION ABDOMINAL WALL
E8854,FALL FROM SNOWBOARD
E0032,"ACTIVITIES INVOLVING SNOW (ALPINE) (DOWNHILL) SKIING, SNOW BOARDING, SLEDDING,TOBOGGANING AND SNOW TUBING"
8020,NASAL BONE FX-CLOSED
E8889,UNSPECIFIED FALL
V065,TETANUS-DIPHT. TD DT
7847,EPISTAXIS
78650,CHEST PAIN NOS
78703,VOMITING
78079,OTHER MALAISE AND FATIGUE
7823,EDEMA
5738,LIVER DISORDERS NEC
72981,SWELLING OF LIMB
1629,MAL NEO BRONCH/LUNG NOS
311,DEPRESSIVE DISORDER
V6284,SUICIDAL IDEATION
V1011,HX-BRONCHOGENIC MALIGNAN
78605,SHORTNESS OF BREATH
4280,"CONGESTIVE HEART FAILURE, UNSPEC"
486,"PNEUMONIA,ORGANISM UNSPECIFIED"
25000,DIABETES UNCOMPL ADULT
V5861,LONG TERM USE ANTIGOAGULANT
4019,HYPERTENSION NOS
2720,HYPERCHOLESTEROLEMIA
7295,PAIN IN LIMB
4111,INTERMED CORONARY SYND
78609,RESPIRATORY ABNORM NEC
41400,"CAD UNSPEC VESSEL, NATIVE OR GRAFT"
25001,DIABETES UNCOMPL JUVEN
V5867,LONG-TERM (CURRENT) USE OF INSULIN
45342,ACUTE VENOUS EMBOLISM AND THROMBOSIS OF DEEP VESSELS OF DISTAL LOWER EXTREMITY
2859,ANEMIA NOS
