icd_code,icd_title
R531,Weakness
G20,Parkinson's disease
R4182,"Altered mental status, unspecified"
F0390,Unspecified dementia without behavioral disturbance
S0181XD,"Laceration w/o foreign body of oth part of head, subs encntr"
V00131D,"Fall from skateboard, subsequent encounter"
S025XXA,"Fracture of tooth (traumatic), init for clos fx"
S0181XA,"Laceration w/o foreign body of oth part of head, init encntr"
W1789XA,"Other fall from one level to another, initial encounter"
S098XXA,"Other specified injuries of head, initial encounter"
S01111A,"Laceration w/o fb of right eyelid and periocular area, init"
W228XXA,"Striking against or struck by other objects, init encntr"
R1310,"Dysphagia, unspecified"
S72092A,"Oth fracture of head and neck of left femur, init"
W1830XA,"Fall on same level, unspecified, initial encounter"
M109,"Gout, unspecified"
K5289,Other specified noninfective gastroenteritis and colitis
R109,Unspecified abdominal pain
E7800,"Pure hypercholesterolemia, unspecified"
I10,Essential (primary) hypertension
R1012,Left upper quadrant pain
J189,"Pneumonia, unspecified organism"
R509,"Fever, unspecified"
R112,"Nausea with vomiting, unspecified"
F10129,"Alcohol abuse with intoxication, unspecified"
J111,Flu due to unidentified influenza virus w oth resp manifest
R42,Dizziness and giddiness
E119,Type 2 diabetes mellitus without complications
E780,Pure hypercholesterolemia
R238,Other skin changes
M25512,Pain in left shoulder
R252,Cramp and spasm
M79662,Pain in left lower leg
M79661,Pain in right lower leg
S93401A,"Sprain of unspecified ligament of right ankle, init encntr"
W109XXA,"Fall (on) (from) unspecified stairs and steps, init encntr"
E11649,Type 2 diabetes mellitus with hypoglycemia without coma
Z7901,Long term (current) use of anticoagulants
R0600,"Dyspnea, unspecified"
I509,"Heart failure, unspecified"
E1122,Type 2 diabetes mellitus w diabetic chronic kidney disease
N184,"Chronic kidney disease, stage 4 (severe)"
Z794,Long term (current) use of insulin
D6489,Other specified anemias
R0609,Other forms of dyspnea
K644,Residual hemorrhoidal skin tags
K6289,Other specified diseases of anus and rectum
R102,Pelvic and perineal pain
R202,Paresthesia of skin
S9031XA,"Contusion of right foot, initial encounter"
V0310XA,"Ped on foot injured pick-up truck, pk-up/van in traf, init"
K5660,Unspecified intestinal obstruction
I2699,Other pulmonary embolism without acute cor pulmonale
R1031,Right lower quadrant pain
R1032,Left lower quadrant pain
R319,"Hematuria, unspecified"
I639,"Cerebral infarction, unspecified"
H16001,"Unspecified corneal ulcer, right eye"
H53143,"Visual discomfort, bilateral"
J45901,Unspecified asthma with (acute) exacerbation
J441,Chronic obstructive pulmonary disease w (acute) exacerbation
I2510,Athscl heart disease of native coronary artery w/o ang pctrs
I4891,Unspecified atrial fibrillation
R0602,Shortness of breath
R079,"Chest pain, unspecified"
K922,"Gastrointestinal hemorrhage, unspecified"
D62,Acute posthemorrhagic anemia
F441,Dissociative fugue
R05,Cough
E876,Hypokalemia
R312,Other microscopic hematuria
I82B11,Acute embolism and thrombosis of right subclavian vein
M7989,Other specified soft tissue disorders
C169,"Malignant neoplasm of stomach, unspecified"
L03031,Cellulitis of right toe
R0789,Other chest pain
E10621,Type 1 diabetes mellitus with foot ulcer
L97529,Non-pressure chronic ulcer oth prt left foot w unsp severity
L03116,Cellulitis of left lower limb
I82412,Acute embolism and thrombosis of left femoral vein
M545,Low back pain
J069,"Acute upper respiratory infection, unspecified"
M549,"Dorsalgia, unspecified"
M5126,"Other intervertebral disc displacement, lumbar region"
F329,"Major depressive disorder, single episode, unspecified"
R45851,Suicidal ideations
G9389,Other specified disorders of brain
H5713,"Ocular pain, bilateral"
E039,"Hypothyroidism, unspecified"
M3500,"Sicca syndrome, unspecified"
S0101XA,"Laceration without foreign body of scalp, initial encounter"
I313,Pericardial effusion (noninflammatory)
I314,Cardiac tamponade
R5383,Other fatigue
O26892,"Oth pregnancy related conditions, second trimester"
Z3A24,24 weeks gestation of pregnancy
N938,Other specified abnormal uterine and vaginal bleeding
Z98890,Other specified postprocedural states
Z952,Presence of prosthetic heart valve
T83128A,"Displacement of oth urinary devices and implants, init"
Y838,"Oth surgical procedures cause abn react/compl, w/o misadvnt"
Y9289,Oth places as the place of occurrence of the external cause
N390,"Urinary tract infection, site not specified"
B372,Candidiasis of skin and nail
K5900,"Constipation, unspecified"
R1110,"Vomiting, unspecified"
F1290,"Cannabis use, unspecified, uncomplicated"
S12200A,"Unsp disp fx of third cervical vertebra, init for clos fx"
Z760,Encounter for issue of repeat prescription
O26893,"Oth pregnancy related conditions, third trimester"
K0889,Other specified disorders of teeth and supporting structures
Z3A34,34 weeks gestation of pregnancy
S61210A,"Laceration w/o fb of r idx fngr w/o damage to nail, init"
W25XXXA,"Contact with sharp glass, initial encounter"
R002,Palpitations
F10239,"Alcohol dependence with withdrawal, unspecified"
D72829,"Elevated white blood cell count, unspecified"
F28,Oth psych disorder not due to a sub or known physiol cond
E162,"Hypoglycemia, unspecified"
B20,Human immunodeficiency virus [HIV] disease
S0090XA,"Unsp superficial injury of unsp part of head, init encntr"
M542,Cervicalgia
E1165,Type 2 diabetes mellitus with hyperglycemia
M79642,Pain in left hand
W260XXA,"Contact with knife, initial encounter"
J029,"Acute pharyngitis, unspecified"
B349,"Viral infection, unspecified"
R51,Headache
R918,Other nonspecific abnormal finding of lung field
S0003XA,"Contusion of scalp, initial encounter"
W108XXA,"Fall (on) (from) other stairs and steps, initial encounter"
E785,"Hyperlipidemia, unspecified"
L03317,Cellulitis of buttock
F4310,"Post-traumatic stress disorder, unspecified"
X58XXXA,"Exposure to other specified factors, initial encounter"
R001,"Bradycardia, unspecified"
K610,Anal abscess
K604,Rectal fistula
N179,"Acute kidney failure, unspecified"
I959,"Hypotension, unspecified"
S066X0A,"Traum subrac hem w/o loss of consciousness, init"
L03115,Cellulitis of right lower limb
L02415,Cutaneous abscess of right lower limb
A419,"Sepsis, unspecified organism"
R339,"Retention of urine, unspecified"
E860,Dehydration
B2790,"Infectious mononucleosis, unspecified without complication"
D649,"Anemia, unspecified"
R569,Unspecified convulsions
G40909,"Epilepsy, unsp, not intractable, without status epilepticus"
I82441,Acute embolism and thrombosis of right tibial vein
R092,Respiratory arrest
J9383,Other pneumothorax
M5431,"Sciatica, right side"
R1011,Right upper quadrant pain
R1013,Epigastric pain
N839,"Noninflammatory disord of ovary, fallop & broad ligmt, unsp"
K769,"Liver disease, unspecified"
S72001A,"Fracture of unsp part of neck of right femur, init"
W010XXA,"Fall same lev from slip/trip w/o strike against object, init"
R630,Anorexia
R440,Auditory hallucinations
Q909,"Down syndrome, unspecified"
L0501,Pilonidal cyst with abscess
S8251XA,"Disp fx of medial malleolus of right tibia, init for clos fx"
S82831A,"Oth fracture of upper and lower end of right fibula, init"
N611,Abscess of the breast and nipple
L0231,Cutaneous abscess of buttock
K8020,Calculus of gallbladder w/o cholecystitis w/o obstruction
M25562,Pain in left knee
W541XXA,"Struck by dog, initial encounter"
S12300A,"Unsp disp fx of fourth cervical vertebra, init for clos fx"
H6121,"Impacted cerumen, right ear"
H6122,"Impacted cerumen, left ear"
R5381,Other malaise
K7460,Unspecified cirrhosis of liver
B1920,Unspecified viral hepatitis C without hepatic coma
K56609,"Unsp intestnl obst, unsp as to partial versus complete obst"
I81,Portal vein thrombosis
R17,Unspecified jaundice
A879,"Viral meningitis, unspecified"
R410,"Disorientation, unspecified"
A539,"Syphilis, unspecified"
K8590,"Acute pancreatitis without necrosis or infection, unsp"
R197,"Diarrhea, unspecified"
Z7984,Long term (current) use of oral hypoglycemic drugs
Z8673,"Prsnl hx of TIA (TIA), and cereb infrc w/o resid deficits"
R1084,Generalized abdominal pain
M10062,"Idiopathic gout, left knee"
M13862,"Other specified arthritis, left knee"
N8320,Unspecified ovarian cysts
G43909,"Migraine, unsp, not intractable, without status migrainosus"
R4581,Low self-esteem
F29,Unsp psychosis not due to a substance or known physiol cond
H8111,"Benign paroxysmal vertigo, right ear"
Z7982,Long term (current) use of aspirin
I7100,Dissection of unspecified site of aorta
I214,Non-ST elevation (NSTEMI) myocardial infarction
M722,Plantar fascial fibromatosis
S2239XA,"Fracture of one rib, unsp side, init for clos fx"
V0300XA,"Ped on foot injured pick-up truck, pk-up/van nontraf, init"
S61412A,"Laceration without foreign body of left hand, init encntr"
R040,Epistaxis
F1020,"Alcohol dependence, uncomplicated"
B009,"Herpesviral infection, unspecified"
E875,Hyperkalemia
F1910,"Other psychoactive substance abuse, uncomplicated"
O26891,"Oth pregnancy related conditions, first trimester"
R1030,"Lower abdominal pain, unspecified"
Z3A00,Weeks of gestation of pregnancy not specified
S32391A,"Oth fracture of right ilium, init encntr for closed fracture"
R0781,Pleurodynia
I6201,Nontraumatic acute subdural hemorrhage
R55,Syncope and collapse
I472,Ventricular tachycardia
F1010,"Alcohol abuse, uncomplicated"
F10229,"Alcohol dependence with intoxication, unspecified"
M79671,Pain in right foot
T50992A,"Poisoning by oth drug/meds/biol subst, self-harm, init"
R262,"Difficulty in walking, not elsewhere classified"
T43591A,"Poisoning by oth antipsychot/neurolept, accidental, init"
T43621A,"Poisoning by amphetamines, accidental (unintentional), init"
S39012A,"Strain of muscle, fascia and tendon of lower back, init"
K436,"Other and unsp ventral hernia with obstruction, w/o gangrene"
R1111,Vomiting without nausea
S02401A,"Maxillary fracture, unspecified side, init"
S023XXA,"Fracture of orbital floor, init encntr for closed fracture"
V4752XA,"Driver of car injured in clsn w statnry object in traf, init"
S0121XA,"Laceration without foreign body of nose, initial encounter"
S68522A,"Partial traumatic trnsphal amputation of left thumb, init"
W312XXA,"Contact w powered woodworking and forming machines, init"
K029,"Dental caries, unspecified"
H01005,Unspecified blepharitis left lower eyelid
H01002,Unspecified blepharitis right lower eyelid
H01001,Unspecified blepharitis right upper eyelid
J36,Peritonsillar abscess
I7101,Dissection of thoracic aorta
R570,Cardiogenic shock
D709,"Neutropenia, unspecified"
R5081,Fever presenting with conditions classified elsewhere
C9200,"Acute myeloblastic leukemia, not having achieved remission"
G8929,Other chronic pain
K921,Melena
I469,"Cardiac arrest, cause unspecified"
Z0000,Encntr for general adult medical exam w/o abnormal findings
R451,Restlessness and agitation
F419,"Anxiety disorder, unspecified"
J101,Flu due to oth ident influenza virus w oth resp manifest
S51812A,"Laceration without foreign body of left forearm, init encntr"
S51811A,"Laceration w/o foreign body of right forearm, init encntr"
X789XXA,"Intentional self-harm by unsp sharp object, init encntr"
R4701,Aphasia
M25571,Pain in right ankle and joints of right foot
A812,Progressive multifocal leukoencephalopathy
S066X9A,"Traum subrac hem w LOC of unsp duration, init"
